company,ticker,negative,neutral,positive,netsent,stockb,stocka,category
Fastenal Co,FAST,0,0,0,0,44.8300,47.0850,Increase
Fastenal Co,FAST,0,1,0,0.0,45.9850,44.8300,Decrease
Fastenal Co,FAST,0,2,0,0.0,43.7400,45.9850,Increase
Fastenal Co,FAST,0,2,0,-0.010000000298023226,44.5100,43.7400,Decrease
Facebook,FB,9,6,1,-5.140000246316198,265.1500,264.7500,Decrease
Facebook,FB,4,8,4,-1.1099999473988995,259.6000,265.1500,Increase
Facebook,FB,6,6,4,-1.8800000061094742,249.9500,259.6000,Increase
Facebook,FB,3,7,6,-0.3399999453127389,276.6400,249.9500,Decrease
Fiserv,FISV,3,8,5,-0.38999999597668644,102.9500,105.2700,Increase
Fiserv,FISV,3,9,4,-0.240000021308661,104.6700,102.9500,Decrease
Fiserv,FISV,1,11,4,0.04000001236796419,102.0000,104.6700,Increase
Fiserv,FISV,1,11,4,1.3700000445544724,97.6900,102.0000,Decrease
Gilead Sciences,GILD,8,7,1,-1.330000026226044,63.8400,64.6865,Increase
Gilead Sciences,GILD,1,11,4,0.22999999344348887,63.4100,63.8400,Increase
Gilead Sciences,GILD,6,5,5,-0.10000011324882618,64.9700,63.4100,Decrease
Gilead Sciences,GILD,1,14,1,-0.26000003308057845,67.9200,64.9700,Decrease
Alphabet Class C,GOOG,3,4,3,-1.2999999955296517,1483.2000,1516.5200,Increase
Alphabet Class C,GOOG,5,10,1,-1.910000030100346,1476.8000,1483.2000,Increase
Alphabet Class C,GOOG,2,3,1,-0.31000002786517183,1448.3600,1476.8000,Increase
Alphabet Class C,GOOG,2,10,4,0.11000001445412566,1563.9999,1448.3600,Decrease
Alphabet Class A,GOOGL,5,6,5,-2.5300000023841864,1479.0300,1511.8500,Increase
Alphabet Class A,GOOGL,3,8,5,1.4901155864777138e-09,1472.9900,1479.0300,Increase
Alphabet Class A,GOOGL,3,7,6,-0.060000005513429655,1440.0600,1472.9900,Increase
Alphabet Class A,GOOGL,2,10,4,1.4400000444054601,1557.0000,1440.0600,Decrease
Hasbro,HAS,1,8,7,1.6600001284480101,84.1300,90.0000,Increase
Hasbro,HAS,0,5,11,2.920000000596046,78.6500,84.1300,Increase
Hasbro,HAS,0,9,7,1.9200000527501113,78.5300,78.6500,Increase
Hasbro,HAS,4,4,8,2.2999999210238453,80.4250,78.5300,Decrease
Henry Schein,HSIC,0,2,1,0.22000000804662712,58.1450,61.8150,Increase
Henry Schein,HSIC,0,7,1,0.10000000819563881,60.4100,58.1450,Decrease
Henry Schein,HSIC,0,9,0,0.0,60.3100,60.4100,Increase
Henry Schein,HSIC,0,10,2,-0.22000001698732397,65.2500,60.3100,Decrease
Illumina,ILMN,2,11,3,0.07999998897314037,311.7800,339.6000,Increase
Illumina,ILMN,1,11,4,0.3400000108778475,307.6100,311.7800,Increase
Illumina,ILMN,5,10,1,-2.810000006258488,283.2400,307.6100,Increase
Illumina,ILMN,3,11,2,-0.6899999929964538,358.9600,283.2400,Decrease
yte,Y,0,0,0,0,535.6500,564.1000,Increase
